start_time,end_time,1.0-8.0A_peak_time,1.0-8.0A_peak_val,4-10keV_peak_time,4-10keV_peak_val,10-15keV_peak_time,10-15keV_peak_val,15-25keV_peak_time,15-25keV_peak_val,25-50keV_peak_time,25-50keV_peak_val,50-84keV_peak_time,50-84keV_peak_val,bkg 4-10 keV,bkg 10-15 keV,bkg 15-25 keV,bkg 25-50 keV,bkg 50-84 keV
2022-03-11 12:56:00.000,2022-03-11 13:17:00.000,2022-03-11 13:08:14,1.6781609e-06,2022-03-11 13:07:54.320000,4863,2022-03-11 13:07:34.320000,799,2022-03-11 13:07:34.320000,399,2022-03-11 12:27:22.316000,0,2022-03-11 12:27:22.316000,0,271.0,49.0,67.0,799.0,431.0
2022-03-13 19:35:00.000,2022-03-13 20:03:00.000,2022-03-13 19:59:00,1.5341508e-06,2022-03-13 19:58:20.277000,6399,2022-03-13 19:58:16.277000,607,2022-03-13 19:57:08.275000,115,2022-03-13 19:19:16.271000,0,2022-03-13 19:19:16.271000,0,271.0,49.0,67.0,799.0,431.0
2022-03-14 21:38:00.000,2022-03-14 22:07:00.000,2022-03-14 21:50:37,1.534633e-06,2022-03-14 21:47:38.662000,8703,2022-03-14 21:47:50.662000,799,2022-03-14 21:47:30.662000,123,2022-03-14 21:06:02.658000,0,2022-03-14 21:06:02.658000,0,271.0,45.0,61.0,799.0,399.0
2022-03-28 00:38:00.000,2022-03-28 00:55:00.000,2022-03-28 00:43:09,2.142065e-06,2022-03-28 00:25:56.323000,1471,2022-03-28 00:25:40.323000,107,2022-03-28 00:23:44.323000,91,2022-03-28 00:20:24.323000,0,2022-03-28 00:20:24.323000,0,271.0,49.0,67.0,799.0,431.0
2022-03-28 18:48:00.000,2022-03-28 19:08:00.000,2022-03-28 19:00:45,6.6447096e-06,2022-03-28 18:59:23.504000,77823,2022-03-28 18:59:23.504000,4863,2022-03-28 18:59:03.504000,231,2022-03-28 18:23:03.500000,0,2022-03-28 18:23:03.500000,0,247.0,49.0,67.0,799.0,431.0
2022-03-29 03:26:00.000,2022-03-29 03:44:00.000,2022-03-29 03:39:06,5.825643e-06,2022-03-29 03:38:06.976000,63487,2022-03-29 03:37:42.976000,4351,2022-03-29 03:37:46.976000,303,2022-03-29 03:24:22.974000,0,2022-03-29 03:24:22.974000,0,271.0,49.0,67.0,799.0,431.0
2022-03-29 22:45:00.000,2022-03-29 23:06:00.000,2022-03-29 22:59:01,6.987782e-06,2022-03-29 22:42:24.968000,1087,2022-03-29 22:50:36.969000,91,2022-03-29 22:47:40.969000,83,2022-03-29 22:42:20.968000,0,2022-03-29 22:42:20.968000,0,271.0,49.0,67.0,799.0,431.0
2022-03-31 14:29:00.000,2022-03-31 14:46:00.000,2022-03-31 14:38:57,3.9907304e-06,2022-03-31 14:19:12.495000,3711,2022-03-31 14:18:28.494000,463,2022-03-31 14:18:32.494000,167,2022-03-31 14:00:56.493000,0,2022-03-31 14:00:56.493000,0,303.0,49.0,64.0,799.0,431.0
2022-04-01 05:09:00.000,2022-04-01 05:24:00.000,2022-04-01 05:18:05,2.594355e-06,2022-04-01 04:52:58.482000,6911,2022-04-01 04:52:54.482000,1343,2022-04-01 04:52:54.482000,303,2022-04-01 04:50:14.482000,0,2022-04-01 04:50:14.482000,0,303.0,49.0,64.0,799.0,431.0
2022-04-02 06:50:00.000,2022-04-02 07:15:00.000,2022-04-02 07:10:29,2.3277812e-06,2022-04-02 07:01:26.825000,5887,2022-04-02 06:58:06.823000,271,2022-04-02 06:40:50.815000,91,2022-04-02 06:36:50.813000,0,2022-04-02 06:36:50.813000,0,303.0,49.0,67.0,799.0,431.0
