goes_start_time,goes_end_time,stix_start_time,stix_end_time
2023-01-11 05:31:00.000,2023-01-11 06:29:00.000,2023-01-11T05:33:36.515,2023-01-11T06:36:48.522
2023-01-11 08:25:00.000,2023-01-11 08:37:00.000,2023-01-11T08:27:48.533,2023-01-11T08:57:44.537
2023-01-12 05:53:00.000,2023-01-12 06:33:00.000,2023-01-12T05:55:32.570,2023-01-12T07:19:32.576
2023-01-12 11:08:00.000,2023-01-12 11:46:00.000,2023-01-12T11:07:08.600,2023-01-12T12:02:44.606
2023-01-13 02:53:00.000,2023-01-13 03:03:00.000,2023-01-13T02:34:00.696,2023-01-13T03:27:08.701
2023-01-13 10:05:00.000,2023-01-13 10:19:00.000,2023-01-13T09:59:36.545,2023-01-13T10:54:32.548
2023-01-14 01:29:00.000,2023-01-14 02:30:00.000,2023-01-14T01:27:32.339,2023-01-14T02:56:44.248
2023-01-14 20:06:00.000,2023-01-14 20:28:00.000,2023-01-14T20:09:44.256,2023-01-14T21:46:36.266
2023-01-14 20:37:00.000,2023-01-14 21:19:00.000,2023-01-14T20:09:48.256,2023-01-14T21:46:48.266
2023-01-15 03:08:00.000,2023-01-15 04:08:00.000,2023-01-15T03:11:28.300,2023-01-15T04:38:32.309
2023-01-15 14:16:00.000,2023-01-15 14:51:00.000,2023-01-15T14:19:00.369,2023-01-15T15:42:52.378
2023-01-22 12:12:00.000,2023-01-22 12:34:00.000,2023-01-22T12:14:49.596,2023-01-22T12:16:41.596
2023-01-22 16:49:00.000,2023-01-22 17:10:00.000,2023-01-22T16:46:17.524,2023-01-22T17:34:21.529
2023-01-25 09:37:00.000,2023-01-25 10:49:00.000,2023-01-25T09:45:37.532,2023-01-25T09:46:13.532
2023-01-25 16:42:00.000,2023-01-25 17:13:00.000,2023-01-25T16:47:09.576,2023-01-25T17:22:45.579
2023-02-07 20:01:00.000,2023-02-07 20:14:00.000,2023-02-07T20:01:16.851,2023-02-07T20:48:48.856
2023-02-07 22:46:00.000,2023-02-07 23:05:00.000,2023-02-07T22:31:36.867,2023-02-07T23:43:20.875
2023-02-08 15:28:00.000,2023-02-08 16:26:00.000,2023-02-08T15:37:56.975,2023-02-08T15:43:44.975
2023-02-08 19:56:00.000,2023-02-08 20:46:00.000,2023-02-08T20:00:05.002,2023-02-08T20:12:53.003
2023-02-08 21:03:00.000,2023-02-08 21:21:00.000,2023-02-08T21:04:13.009,2023-02-08T21:16:01.010
2023-02-09 02:45:00.000,2023-02-09 03:28:00.000,2023-02-09T02:45:03.744,2023-02-09T03:55:59.752
2023-02-09 07:11:00.000,2023-02-09 07:21:00.000,2023-02-09T07:11:19.772,2023-02-09T07:35:51.775
2023-02-09 08:49:00.000,2023-02-09 09:24:00.000,2023-02-09T08:51:19.683,2023-02-09T09:50:55.589
2023-02-09 14:44:00.000,2023-02-09 15:05:00.000,2023-02-09T14:33:35.619,2023-02-09T15:56:07.627
2023-02-09 18:18:00.000,2023-02-09 19:02:00.000,2023-02-09T18:18:19.642,2023-02-09T19:05:35.647
2023-02-10 02:45:00.000,2023-02-10 03:20:00.000,2023-02-10T02:48:35.696,2023-02-10T04:11:23.705
